ID,Book Title,Author,Lenght,Price
177,ATTACHED: THE NEW SCIENCE OF ADULT ATTACHMENT AND HOW IT CAN HELP YOU FIND--AND KEEP-- LOVE,BY RACHEL HELLER,7 hr 4 min,$17.50
178,MURDER'S A WITCH,BY DANIELLE GARRETT,6 hr 48 min,$16.99
179,AN AMERICAN MARRIAGE: A NOVEL,BY TAYARI JONES,9 hr 1 min,$29.99
180,THE VOYEUR: A BEST FRIEND'S SISTER EROTIC ROMANTIC COMEDY,BY ELLIS O. DAY,1 hr 8 min,$4.99
181,THINK AGAIN: THE POWER OF KNOWING WHAT YOU DON'T KNOW,BY ADAM GRANT,6 hr 40 min,$20.00
182,THE BOYS FROM BILOXI: A LEGAL THRILLER,BY JOHN GRISHAM,17 hr 22 min,$25.00
183,ONLY THE DEAD: A THRILLER,BY JACK CARR,15 hr 17 min,$29.99
184,THE BOYS IN THE BOAT: NINE AMERICANS AND THEIR EPIC QUEST FOR GOLD AT THE 1936 BERLIN OLYMPICS,BY DANIEL JAMES BROWN,14 hr 25 min,$24.00
185,THE SON OF NEPTUNE (HEROES OF OLYMPUS BOOK 2),BY RICK RIORDAN,13 hr 28 min,Coming soon
186,WILDFIRE: A NOVEL,BY HANNAH GRACE,10 hr 54 min,$24.99
187,A COURT OF FROST AND STARLIGHT,BY SARAH J. MAAS,6 hr 24 min,$19.99
188,MIDNIGHT RUIN,BY KATEE ROBERT,9 hr 3 min,$24.99
189,THE UNTETHERED SOUL: THE JOURNEY BEYOND YOURSELF,BY MICHAEL A. SINGER,6 hr 9 min,$16.99
190,THE KEEPER OF STORIES,BY SALLY PAGE,10 hr 16 min,$19.95
191,A COURT OF MIST AND FURY (2 OF 2) [DRAMATIZED ADAPTATION]: A COURT OF THORNS AND ROSES 2,BY SARAH J. MAAS,8 hr 23 min,$19.99
192,FANGIRL DOWN: A NOVEL,BY TESSA BAILEY,11 hr 29 min,Coming soon
193,EXTREME OWNERSHIP: HOW U.S. NAVY SEALS LEAD AND WIN,BY LEIF BABIN,8 hr 26 min,$19.99
194,"[SPANISH] - RESUMEN DEL LIBRO 'HÁBITOS ATÓMICOS' DE JAMES CLEAR: CAMBIOS PEQUEÑOS, RESULTADOS EXTRAORDINARIOS",BY LEADER SUMMARIES,0 hr 33 min,$3.99
195,IF HE HAD BEEN WITH ME,BY LAURA NOWLIN,8 hr 37 min,$19.99
196,[SPANISH] - RAYUELA,BY JULIO CORTÁZAR,44 hr 0 min,$23.99
197,A COURT OF WINGS AND RUIN (1 OF 3) [DRAMATIZED ADAPTATION]: A COURT OF THORNS AND ROSES 3,BY SARAH J. MAAS,6 hr 11 min,$19.99
198,"THE LION, THE WITCH AND THE WARDROBE",BY C.S. LEWIS,4 hr 21 min,$18.99
199,OUR HIDDEN CONVERSATIONS: WHAT AMERICANS REALLY THINK ABOUT RACE AND IDENTITY,BY MICHELE NORRIS,17 hr 44 min,$29.99
200,THE OTHER MOTHERS,BY KATHERINE FAULKNER,12 hr 25 min,$23.99
201,THE STOLEN HEIR: A NOVEL OF ELFHAME,BY HOLLY BLACK,10 hr 9 min,$27.99
202,ALL THAT WE ARE TOGETHER,BY ALICE KELLEN,10 hr 29 min,$24.99
203,THE THROWAWAY CHILDREN,BY DINEY COSTELOE,17 hr 57 min,$24.99
204,GIRL IN PIECES,BY KATHLEEN GLASGOW,10 hr 43 min,$27.50
205,MIXED SIGNALS,BY B.K. BORISON,10 hr 16 min,$24.99
206,DIRTY THIRTY,BY JANET EVANOVICH,8 hr 2 min,$24.99
207,THE OTHER FAMILY: A NOVEL,BY WENDY CORSI STAUB,9 hr 7 min,$27.99
208,THE LOVE HYPOTHESIS,BY ALI HAZELWOOD,11 hr 51 min,$20.00
209,"I, JEDI: STAR WARS LEGENDS",BY MICHAEL A. STACKPOLE,14 hr 0 min,Coming soon
210,"THINKING, FAST AND SLOW",BY DANIEL KAHNEMAN,20 hr 2 min,$27.50
211,WOLF IN THE ATTIC,BY PAUL KEARNEY,7 hr 48 min,$13.75
212,THE 5 LOVE LANGUAGES: THE SECRET TO LOVE THAT LASTS,BY GARY CHAPMAN,4 hr 47 min,$27.99
213,ATLAS OF THE HEART: MAPPING MEANINGFUL CONNECTION AND THE LANGUAGE OF HUMAN EXPERIENCE,BY BRENÉ BROWN,8 hr 29 min,$25.00
214,"BOUNDARIES UPDATED AND EXPANDED EDITION: WHEN TO SAY YES, HOW TO SAY NO TO TAKE CONTROL OF YOUR LIFE",BY HENRY CLOUD,11 hr 18 min,$28.99
215,THE HOUSE IN THE PINES: A NOVEL,BY ANA REYES,8 hr 34 min,$20.00
216,BEFORE WE WERE YOURS: A NOVEL,BY LISA WINGATE,14 hr 29 min,$25.00
217,"THE COURAGE TO BE DISLIKED: HOW TO FREE YOURSELF, CHANGE YOUR LIFE, AND ACHIEVE REAL HAPPINESS",BY FUMITAKE KOGA,6 hr 29 min,$17.99
218,"[GERMAN] - FRIENDS, LOVERS AND THE BIG TERRIBLE THING - DIE AUTOBIOGRAFIE DES FRIENDS-STARS (UNGEKÜRZT) [UNABRIDGED AUDIOBOOK]",BY MATTHEW PERRY,9 hr 33 min,Coming soon
219,THE OUTSIDER: A NOVEL,BY STEPHEN KING,18 hr 41 min,$29.99
220,RULES OF PREY,BY JOHN SANDFORD,11 hr 54 min,$24.99
221,THINK LIKE A MONK: TRAIN YOUR MIND FOR PEACE AND PURPOSE EVERY DAY,BY JAY SHETTY,11 hr 0 min,$24.99
222,IT'S NOT YOU: IDENTIFYING AND HEALING FROM NARCISSISTIC PEOPLE,BY RAMANI DURVASULA,11 hr 31 min,Coming soon
223,SAPIENS: A BRIEF HISTORY OF HUMANKIND,BY YUVAL NOAH HARARI,15 hr 18 min,$31.99
224,AFTER WE WERE STOLEN,BY BROOKE BEYFUSS,10 hr 10 min,$24.99
225,"THE KINGDOM, THE POWER, AND THE GLORY: AMERICAN EVANGELICALS IN AN AGE OF EXTREMISM",BY TIM ALBERTA,18 hr 15 min,$27.99
226,WHO'S THAT GIRL,BY T. S. HUNTER,2 hr 48 min,$10.99
227,MAYBE SOMEDAY,BY COLLEEN HOOVER,10 hr 40 min,$17.99
228,"THE NEW MENOPAUSE: NAVIGATING YOUR PATH THROUGH HORMONAL CHANGE WITH PURPOSE, POWER, AND FACTS",BY MARY CLAIRE HAVER,11 hr 0 min,Coming soon
